Statistics
-------------------------------------
Input File: hash.txt
      PARAMETER 1 time(s)
      INCREASES 1 time(s)
      SOMETIMES 1 time(s)
      THEREFORE 1 time(s)
          TABLE 5 time(s)
          AGAIN 1 time(s)
      CONSTANTS 1 time(s)
      HOPEFULLY 4 time(s)
          CHECK 1 time(s)
          BASED 3 time(s)
      ARBITRARY 1 time(s)
      ALGORITHM 1 time(s)
          ALONE 1 time(s)
          BEGIN 1 time(s)
          TRACK 1 time(s)
          ALONG 3 time(s)
          WHICH 1 time(s)
      EXTENSIVE 1 time(s)
      SENSITIVE 1 time(s)
            ONE 1 time(s)
            JOB 1 time(s)
            SEE 1 time(s)
            AID 1 time(s)
          USING 4 time(s)
          OCCUR 2 time(s)
          PARSE 1 time(s)
          ABOVE 2 time(s)
     ADDITIONAL 2 time(s)
          HOLDS 1 time(s)
     ASSOCIATED 1 time(s)
     PERCENTAGE 3 time(s)
          MINOR 1 time(s)
     WHITESPACE 1 time(s)
            NON 1 time(s)
          CLASS 1 time(s)
          INDEX 2 time(s)
            CAN 3 time(s)
           AND 22 time(s)
     EXPLAINING 1 time(s)
     RELATIONAL 1 time(s)
          BELOW 1 time(s)
          VALUE 6 time(s)
     TECHNIQUES 1 time(s)
     POLYNOMIAL 1 time(s)
          ALLOW 1 time(s)
            ALL 5 time(s)
          THESE 4 time(s)
     SUBMISSION 1 time(s)
            VIA 1 time(s)
     SUCCESSIVE 1 time(s)
          THERE 2 time(s)
          TIMES 3 time(s)
          WHERE 1 time(s)
     PARAMETERS 1 time(s)
          FOUND 3 time(s)
     COLLISIONS 9 time(s)
     TRANSLATED 1 time(s)
     ASSIGNMENT 1 time(s)
          BONUS 1 time(s)
          INPUT 2 time(s)
          STATS 2 time(s)
          DIGIT 1 time(s)
          KNOWN 5 time(s)
          FIRST 4 time(s)
          THOSE 4 time(s)
          WOULD 2 time(s)
          ORDER 1 time(s)
            USE 7 time(s)
          BASIS 1 time(s)
          NEVER 1 time(s)
         PRINT 10 time(s)
           THE 87 time(s)
            PDM 1 time(s)
     RESOLUTION 1 time(s)
          EXACT 1 time(s)
     STRUCTURES 1 time(s)
     PARTICULAR 1 time(s)
         ARRAY 17 time(s)
          TOTAL 3 time(s)
     SUBSEQUENT 3 time(s)
     INTERNALLY 1 time(s)
          UNTIL 1 time(s)
            ADT 4 time(s)
            HAS 1 time(s)
     STATISTICS 1 time(s)
            PUT 1 time(s)
            CPP 2 time(s)
            CRP 6 time(s)
    IMPLEMENTED 3 time(s)
            ARE 8 time(s)
            FEW 1 time(s)
          WORDS 8 time(s)
    PERCENTAGES 1 time(s)
         CALLED 3 time(s)
            WAS 1 time(s)
    INFORMATION 1 time(s)
            TWO 2 time(s)
            NOR 2 time(s)
    PUNCTUATION 1 time(s)
    UNDERSCORES 1 time(s)
    ENCOUNTERED 1 time(s)
            NOT 3 time(s)
            RUN 2 time(s)
            SET 1 time(s)
            BUT 1 time(s)
         LINKED 2 time(s)
         ADDING 1 time(s)
            NOW 1 time(s)
            OUT 2 time(s)
            TXT 1 time(s)
            FOR 8 time(s)
         CHANGE 1 time(s)
    PARENTHESIS 1 time(s)
   SPECIFICALLY 1 time(s)
         SECOND 1 time(s)
         ACCESS 3 time(s)
         TAKING 1 time(s)
            KEY 4 time(s)
            WAY 1 time(s)
   ACCOMPLISHED 1 time(s)
   MATHEMATICAL 1 time(s)
            ANY 2 time(s)
         LINEAR 2 time(s)
         SINGLE 1 time(s)
         SEARCH 2 time(s)
   DELIVERABLES 1 time(s)
            YOU 3 time(s)
         OCCURS 3 time(s)
         COMMAS 1 time(s)
   IMPLEMENTING 1 time(s)
         SCREEN 1 time(s)
         PLEASE 2 time(s)
         MANNER 1 time(s)
         BRACES 1 time(s)
         STRING 1 time(s)
         RESIDE 2 time(s)
   CALCULATIONS 1 time(s)
         REHASH 1 time(s)
         THINGS 1 time(s)
         DESIGN 1 time(s)
         COLONS 2 time(s)
         DOUBLE 1 time(s)
  PREDETERMINED 1 time(s)
         UNIQUE 7 time(s)
   REQUIREMENTS 1 time(s)
         CLIENT 6 time(s)
         STORED 1 time(s)
         LETTER 1 time(s)
         OUTPUT 1 time(s)
        SHOULD 18 time(s)
         MODIFY 1 time(s)
         GIVING 1 time(s)
         DIGITS 3 time(s)
         EASILY 1 time(s)
        DEFINED 1 time(s)
         STRUCT 2 time(s)
         DIRECT 2 time(s)
         WITHIN 6 time(s)
  EFFECTIVENESS 6 time(s)
  DIFFERENTIATE 1 time(s)
        NUMBER 10 time(s)
         HEREBY 1 time(s)
         EXCEPT 1 time(s)
         VALUES 2 time(s)
        HANDLED 1 time(s)
        CALLING 1 time(s)
         SERIES 1 time(s)
         EITHER 1 time(s)
         THEORY 1 time(s)
        READING 1 time(s)
        SEEKING 1 time(s)
         QUOTES 1 time(s)
        ACHIEVE 1 time(s)
  APPROPRIATELY 1 time(s)
        DENOTED 1 time(s)
         ANYWAY 1 time(s)
         SYNTAX 1 time(s)
        HASHING 2 time(s)
        BECOMES 1 time(s)
        RELATED 1 time(s)
        MEASURE 1 time(s)
        PROBING 3 time(s)
           EACH 4 time(s)
        PROBLEM 1 time(s)
           NODE 1 time(s)
 SPECIFICATIONS 1 time(s)
        ELEMENT 2 time(s)
        CONTAIN 1 time(s)
        DESIRED 1 time(s)
        INTEGER 1 time(s)
        PROCESS 1 time(s)
        VERSION 1 time(s)
        INITIAL 2 time(s)
           DEAL 1 time(s)
           ABLE 1 time(s)
        PROGRAM 2 time(s)
        UTILIZE 1 time(s)
        USUALLY 1 time(s)
        PRIMARY 1 time(s)
        METHODS 2 time(s)
 IMPLEMENTATION 1 time(s)
        ADTLIST 4 time(s)
           BEEN 1 time(s)
        COUNTED 1 time(s)
           NAME 1 time(s)
        STORING 2 time(s)
          FILE 11 time(s)
           COME 1 time(s)
           USED 4 time(s)
        CONVERT 2 time(s)
        MAXIMUM 1 time(s)
        PERIODS 1 time(s)
           SAME 2 time(s)
           FIND 1 time(s)
        WRITEUP 1 time(s)
        EXAMPLE 1 time(s)
        PRESENT 1 time(s)
        POINTER 1 time(s)
        VARIOUS 1 time(s)
           TAKE 1 time(s)
           DATA 1 time(s)
           SEMI 1 time(s)
           CASE 2 time(s)
           TIME 1 time(s)
        RESULTS 1 time(s)
        THROUGH 2 time(s)
           KEEP 1 time(s)
           SUCH 1 time(s)
           WILL 4 time(s)
           HAVE 1 time(s)
           ROOM 1 time(s)
           THAN 2 time(s)
          HASH 21 time(s)
           NOTE 1 time(s)
           THEN 3 time(s)
       CHAINING 1 time(s)
           WHEN 5 time(s)
           MORE 3 time(s)
           WERE 2 time(s)
           KEPT 1 time(s)
Collision Resolution Policy used: Chaining
Number of collisions: 137
Percentage of occupancy: 38.00%
